signal_code
sd1_v0_eventrecord_carnumber_uniquecarnumber
sd1_v0_eventrecord_carnumber_unitnumber
sd1_v0_eventrecord_dateofeventoccurred_dayh
sd1_v0_eventrecord_dateofeventoccurred_dayl
sd1_v0_eventrecord_dateofeventoccurred_hourh
sd1_v0_eventrecord_dateofeventoccurred_hourl
sd1_v0_eventrecord_dateofeventoccurred_minuteh
sd1_v0_eventrecord_dateofeventoccurred_minutel
sd1_v0_eventrecord_dateofeventoccurred_monthh
sd1_v0_eventrecord_dateofeventoccurred_monthl
sd1_v0_eventrecord_dateofeventoccurred_secondh
sd1_v0_eventrecord_dateofeventoccurred_secondl
sd1_v0_eventrecord_dateofeventoccurred_yearh
sd1_v0_eventrecord_dateofeventoccurred_yearl
sd1_v0_eventrecord_decouplingcoupling
sd1_v0_eventrecord_failurecode
sd1_v0_eventrecord_gpslocation_directionoflatitude
sd1_v0_eventrecord_gpslocation_directionoflongitude
sd1_v0_eventrecord_gpslocation_latitudedegrees
sd1_v0_eventrecord_gpslocation_latitudeminutes
sd1_v0_eventrecord_gpslocation_longitudedegrees
sd1_v0_eventrecord_gpslocation_longitudeminutes
sd1_v0_eventrecord_notchinformaion_notch
sd1_v0_eventrecord_occurrencerecovering
sd1_v0_eventrecord_overheadlinevoltage_overheadlinevoltageac
sd1_v0_eventrecord_overheadlinevoltage_overheadlinevoltagedc
sd1_v0_eventrecord_runningsectioncode_nextstationcode
sd1_v0_eventrecord_runningsectioncode_relevantstationcode
sd1_v0_eventrecord_speed_speed
sd1_v0_eventrecord_trackmode_acctr
sd1_v0_eventrecord_trackmode_acnl
sd1_v0_eventrecord_trackmode_dcnl
sd1_v0_screendisplaydata_loginstatus_anotherunitdpt1loginstatus
sd1_v0_screendisplaydata_loginstatus_anotherunitdpt2loginstatus
sd1_v0_screendisplaydata_loginstatus_selfunitdpt1loginstatus
sd1_v0_screendisplaydata_loginstatus_selfunitdpt2loginstatus
sd1_v0_screendisplaydata_nextstationcode_nextstationcode
sd1_v0_screendisplaydata_unitstatus_couplingstatus
sd1_v0_statisticaldata_compressor_compoperatinghoursdpt1_operatinghours
sd1_v0_statisticaldata_compressor_compoperatinghoursdpt2_operatinghours
sd1_v0_statisticaldata_mileage_odometerrunningdistance
sd1_v0_unitnumber
sd1_v1_bcu_bcutransmission_analogdata7_bsrpressure
sd1_v1_bcu_bcutransmission_brakefault_bcumajorfault
sd1_v1_bcu_bcutransmission_brakefault_dumpvaluefault1
sd1_v1_bcu_bcutransmission_brakefault_dumpvaluefault2
sd1_v1_bcu_bcutransmission_brakefault_dumpvaluefault3
sd1_v1_bcu_bcutransmission_brakefault_dumpvaluefault4
sd1_v1_bcu_bcutransmission_brakefault_lockedaxle1
sd1_v1_bcu_bcutransmission_brakefault_lockedaxle2
sd1_v1_bcu_bcutransmission_brakefault_lockedaxle3
sd1_v1_bcu_bcutransmission_brakefault_lockedaxle4
sd1_v1_bcu_bcutransmission_brakefault_sandrequestrefused
sd1_v1_bcu_bcutransmission_brakefault_speedsensorfault1
sd1_v1_bcu_bcutransmission_brakefault_speedsensorfault2
sd1_v1_bcu_bcutransmission_brakefault_speedsensorfault3
sd1_v1_bcu_bcutransmission_brakefault_speedsensorfault4
sd1_v1_bcu_bcutransmission_brakefault_wspmajorfault
sd1_v1_bcu_bcutransmission_brakefault_wsptimeout1
sd1_v1_bcu_bcutransmission_brakefault_wsptimeout2
sd1_v1_bcu_bcutransmission_brakefault_wsptimeout3
sd1_v1_bcu_bcutransmission_brakefault_wsptimeout4
sd1_v1_bcu_bcutransmission_brakestatus_sanding
sd1_v1_bcu_bcutransmission_tmscarnumber_tmscarnumber
sd1_v1_dido_dido_monitoringdi110v_emergencypantographup
sd1_v1_dido_dido_monitoringdi110v_otmrfailure
sd1_v1_dido_dido_monitoringdi110v_powersupplyforaxletemperaturedetectioncircuit
sd1_v1_dido_dido_monitoringdi110v_powersupplyforbrake
sd1_v1_dido_dido_monitoringdi110v_powersupplyfordriversdisplayunit
sd1_v1_dido_dido_monitoringdi110v_powersupplyforhvac
sd1_v1_dido_dido_monitoringdi110v_powersupplyforotmr
sd1_v1_dido_dido_monitoringdi110v_powersupplyforpis
sd1_v1_dido_dido_monitoringdi110v_speedindicatorfailure
sd1_v1_dido_dido_monitoringdi24v_acpowersupplyisovercurrentacocrstatus
sd1_v1_dido_dido_monitoringdi24v_airsuspensionpressuredown
sd1_v1_dido_dido_monitoringdi24v_anyotherareadetectionisisolated
sd1_v1_dido_dido_monitoringdi24v_auxliarycompressorisinoperation
sd1_v1_dido_dido_monitoringdi24v_brakecockisbeingblocked
sd1_v1_dido_dido_monitoringdi24v_brakeisdragging
sd1_v1_dido_dido_monitoringdi24v_cabareafire
