unit_no,signal_code,frozen_times,realtime_value,calendar_timestamp,filename,pentahocounter,batch_value
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:59:51', '2024-06-10 07:59:52', '2024-06-10 07:59:52', '2024-06-10 07:59:52', '2024-06-10 07:59:52', '2024-06-10 07:59:52', '2024-06-10 07:59:53', '2024-06-10 07:59:53', '2024-06-10 07:59:53', '2024-06-10 07:59:53', '2024-06-10 07:59:53', '2024-06-10 07:59:54', '2024-06-10 07:59:54', '2024-06-10 07:59:54', '2024-06-10 07:59:54', '2024-06-10 07:59:54', '2024-06-10 07:59:55', '2024-06-10 07:59:55', '2024-06-10 07:59:55', '2024-06-10 07:59:55', '2024-06-10 07:59:55', '2024-06-10 07:59:56', '2024-06-10 07:59:56', '2024-06-10 07:59:56']",0,2024-06-10 07:59:56.200,SD2406100627290-395001-SD1,9777.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:59:56', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00']",0,2024-06-10 07:59:56.600,SD2406100627290-395001-SD1,9779.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:59:56', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00']",0,2024-06-10 07:59:58.400,SD2406100627290-395001-SD1,9788.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:59:56', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00']",0,2024-06-10 07:59:59.000,SD2406100627290-395001-SD1,9791.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:00:20', '2024-06-10 08:00:21', '2024-06-10 08:00:21', '2024-06-10 08:00:21', '2024-06-10 08:00:21', '2024-06-10 08:00:21', '2024-06-10 08:00:22', '2024-06-10 08:00:22', '2024-06-10 08:00:22', '2024-06-10 08:00:22', '2024-06-10 08:00:22', '2024-06-10 08:00:23', '2024-06-10 08:00:23', '2024-06-10 08:00:23', '2024-06-10 08:00:23', '2024-06-10 08:00:23', '2024-06-10 08:00:24', '2024-06-10 08:00:24', '2024-06-10 08:00:24', '2024-06-10 08:00:24', '2024-06-10 08:00:24', '2024-06-10 08:00:25', '2024-06-10 08:00:25', '2024-06-10 08:00:25', '2024-06-10 08:00:25']",0,2024-06-10 08:00:24.400,SD2406100627290-395001-SD1,9919.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:01:00', '2024-06-10 08:01:01', '2024-06-10 08:01:01', '2024-06-10 08:01:01', '2024-06-10 08:01:01', '2024-06-10 08:01:01', '2024-06-10 08:01:02', '2024-06-10 08:01:02', '2024-06-10 08:01:02', '2024-06-10 08:01:02', '2024-06-10 08:01:02', '2024-06-10 08:01:03', '2024-06-10 08:01:03', '2024-06-10 08:01:03', '2024-06-10 08:01:03', '2024-06-10 08:01:03', '2024-06-10 08:01:04', '2024-06-10 08:01:04', '2024-06-10 08:01:04', '2024-06-10 08:01:04', '2024-06-10 08:01:04', '2024-06-10 08:01:05', '2024-06-10 08:01:05', '2024-06-10 08:01:05']",0,2024-06-10 08:01:04.000,SD2406100627290-395001-SD1,10117.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:03:10.400,SD2406100627290-395001-SD1,10752.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:03:50.000,SD2406100627290-395001-SD1,10951.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 08:08:25', '2024-06-10 08:08:25', '2024-06-10 08:08:26', '2024-06-10 08:08:26', '2024-06-10 08:08:26', '2024-06-10 08:08:26', '2024-06-10 08:08:26', '2024-06-10 08:08:27', '2024-06-10 08:08:27', '2024-06-10 08:08:27', '2024-06-10 08:08:27', '2024-06-10 08:08:27', '2024-06-10 08:08:28', '2024-06-10 08:08:28', '2024-06-10 08:08:28', '2024-06-10 08:08:28', '2024-06-10 08:08:28', '2024-06-10 08:08:29', '2024-06-10 08:08:29', '2024-06-10 08:08:29', '2024-06-10 08:08:29', '2024-06-10 08:08:29', '2024-06-10 08:08:30', '2024-06-10 08:08:30']",0,2024-06-10 08:08:29.800,,,
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 08:08:44.400,SD2406100627290-395001-SD1,12428.0,0.0
